Line Constraint Violations:
Time Step 230, 2 violations
Time Step 256, 3 violations
Time Step 261, 1 violations
Time Step 266, 1 violations
Time Step 327, 1 violations
Time Step 518, 2 violations
Time Step 520, 2 violations
Time Step 526, 1 violations
Time Step 549, 2 violations
Time Step 555, 1 violations
Time Step 623, 2 violations
Time Step 644, 3 violations
Time Step 658, 1 violations
Time Step 140, 3 violations
Time Step 228, 1 violations
Time Step 566, 1 violations
Time Step 613, 4 violations
Time Step 628, 2 violations
Time Step 321, 1 violations
Time Step 75, 1 violations
Time Step 329, 1 violations
Time Step 614, 2 violations
Time Step 629, 2 violations
Time Step 48, 1 violations
Time Step 70, 1 violations
Time Step 76, 2 violations
Time Step 163, 1 violations
Time Step 260, 1 violations
Time Step 355, 1 violations
Time Step 516, 2 violations
Time Step 517, 3 violations
Time Step 519, 2 violations
Time Step 615, 3 violations
Time Step 620, 2 violations
Time Step 656, 1 violations
Time Step 124, 1 violations
Time Step 627, 2 violations
Time Step 634, 2 violations
Time Step 646, 2 violations
Time Step 74, 1 violations
Time Step 167, 2 violations
Time Step 524, 1 violations
Time Step 525, 2 violations
Time Step 529, 1 violations
Time Step 538, 1 violations
Time Step 652, 1 violations
Time Step 147, 2 violations
Time Step 531, 3 violations
Time Step 608, 1 violations
Time Step 39, 1 violations
Time Step 158, 1 violations
Time Step 170, 1 violations
Time Step 545, 1 violations
Time Step 68, 1 violations
Time Step 150, 1 violations
Time Step 533, 2 violations
Time Step 554, 2 violations
Time Step 556, 1 violations
Time Step 617, 2 violations
Time Step 642, 1 violations
Time Step 36, 1 violations
Time Step 79, 1 violations
Time Step 161, 1 violations
Time Step 562, 1 violations
Time Step 610, 1 violations
Time Step 643, 2 violations
Time Step 622, 1 violations
Time Step 626, 1 violations
Time Step 647, 1 violations
Time Step 220, 1 violations
Time Step 255, 1 violations
Time Step 546, 1 violations
Time Step 616, 1 violations
Time Step 51, 1 violations
Time Step 90, 1 violations
Time Step 162, 1 violations
Time Step 324, 1 violations
Time Step 557, 1 violations
Time Step 624, 1 violations
Time Step 172, 2 violations
Time Step 443, 1 violations
Time Step 541, 1 violations
Time Step 604, 1 violations
Time Step 80, 1 violations
Time Step 132, 1 violations
Time Step 173, 1 violations
Time Step 356, 1 violations
Time Step 427, 1 violations
Time Step 318, 1 violations
Time Step 512, 1 violations
Time Step 522, 1 violations
Time Step 630, 1 violations
Time Step 654, 1 violations
Time Step 125, 1 violations
Time Step 235, 1 violations

Maximum Violations:
Line 24, Time Step 619: 4 violations
