Line Constraint Violations:
Time Step 173, 2 violations
Time Step 257, 2 violations
Time Step 367, 1 violations
Time Step 525, 3 violations
Time Step 526, 1 violations
Time Step 607, 1 violations
Time Step 608, 3 violations
Time Step 610, 3 violations
Time Step 644, 2 violations
Time Step 645, 4 violations
Time Step 655, 2 violations
Time Step 75, 2 violations
Time Step 320, 1 violations
Time Step 518, 3 violations
Time Step 524, 3 violations
Time Step 538, 2 violations
Time Step 539, 1 violations
Time Step 620, 2 violations
Time Step 171, 1 violations
Time Step 325, 2 violations
Time Step 438, 1 violations
Time Step 611, 1 violations
Time Step 613, 1 violations
Time Step 139, 1 violations
Time Step 164, 2 violations
Time Step 267, 1 violations
Time Step 332, 1 violations
Time Step 436, 1 violations
Time Step 531, 4 violations
Time Step 537, 3 violations
Time Step 609, 2 violations
Time Step 621, 1 violations
Time Step 70, 1 violations
Time Step 136, 1 violations
Time Step 226, 1 violations
Time Step 263, 1 violations
Time Step 520, 4 violations
Time Step 617, 2 violations
Time Step 618, 1 violations
Time Step 626, 2 violations
Time Step 640, 2 violations
Time Step 649, 1 violations
Time Step 176, 1 violations
Time Step 648, 2 violations
Time Step 73, 1 violations
Time Step 612, 1 violations
Time Step 622, 1 violations
Time Step 629, 2 violations
Time Step 632, 1 violations
Time Step 638, 1 violations
Time Step 78, 2 violations
Time Step 82, 1 violations
Time Step 256, 2 violations
Time Step 358, 1 violations
Time Step 414, 1 violations
Time Step 549, 1 violations
Time Step 43, 1 violations
Time Step 77, 1 violations
Time Step 623, 1 violations
Time Step 656, 1 violations
Time Step 51, 1 violations
Time Step 74, 1 violations
Time Step 79, 1 violations
Time Step 254, 1 violations
Time Step 363, 1 violations
Time Step 614, 5 violations
Time Step 141, 2 violations
Time Step 235, 2 violations
Time Step 519, 1 violations
Time Step 536, 1 violations
Time Step 551, 1 violations
Time Step 557, 1 violations
Time Step 643, 1 violations
Time Step 242, 1 violations
Time Step 545, 1 violations
Time Step 554, 1 violations
Time Step 615, 2 violations
Time Step 646, 2 violations
Time Step 130, 1 violations
Time Step 561, 1 violations
Time Step 635, 1 violations
Time Step 639, 1 violations
Time Step 140, 1 violations
Time Step 166, 1 violations
Time Step 231, 1 violations
Time Step 547, 1 violations
Time Step 647, 2 violations
Time Step 352, 1 violations
Time Step 553, 1 violations
Time Step 168, 1 violations
Time Step 261, 1 violations
Time Step 616, 1 violations
Time Step 542, 1 violations
Time Step 603, 1 violations
Time Step 52, 1 violations
Time Step 238, 1 violations
Time Step 450, 1 violations
Time Step 509, 1 violations
Time Step 533, 1 violations
Time Step 628, 1 violations
Time Step 236, 1 violations

Maximum Violations:
Line 24, Time Step 645: 4 violations
